Days,total_vaccinated,death_per_day
1,191181,151
2,224301,163
3,454049,152
4,674835,155
5,806484,131
6,1043534,117
7,1390592,137
8,1582201,123
9,1615504,163
10,2023809,137
11,2029480,127
12,2355979,118
13,2928053,94
14,3500027,110
15,3744334,107
16,3758843,120
17,3950156,95
18,4138918,78
19,4449552,84
20,4959445,78
21,5416849,94
22,5775322,108
23,5812362,87
24,6259008,103
25,6611561,92
26,7017114,90
27,7505010,81
28,7967647,100
29,8044786,100
30,8418653,101
31,8641002,97
32,8844641,101
33,9381591,90
34,9693000,83
35,9964383,78
36,10124531,104
37,10308552,138
38,10585757,120
39,10884879,113
40,11206188,113
41,11552857,106
42,11788669,91
43,11845075,98
44,12256337,89
45,12906771,113
46,13739121,108
47,14796835,100
48,15996683,97
49,17168303,77
50,17227903,133
51,18943283,126
52,20004227,117
53,21034481,140
54,21435841,161
55,23075504,118
56,24307635,131
57,24452385,188
58,27079484,172
59,28862037,154
60,30600787,188
61,32426230,197
62,34842030,212
63,37125187,199
64,37574302,275
65,40631153,251
66,42731952,257
67,44846538,291
68,47001472,312
69,49426618,291
70,51441436,271
71,51660234,354
72,52211398,459
73,53989035,469
74,55783201,714
75,59148798,513
76,63081589,478
77,65739470,446
78,68678838,630
79,72277309,685
80,75937015,780
81,78763027,794
82,82456522,839
83,85763852,904
84,88885961,879
85,91587400,1027
86,95043039,1038
87,97301914,1185
88,100179199,1341
89,102349255,1501
90,104408484,1619
91,106431076,1761
92,107371770,2023
93,109659181,2104
94,111673361,2263
95,113584269,2624
96,116936487,2767
